カテゴリ,ファイル名,主要機能,詳細説明,技術要素,関連モデル
コアシステム・アプリケーション基盤,app.py,Flaskアプリケーション設定・データベース初期化,Flask WebアプリケーションのメインエントリーポイントでSQLAlchemyデータベース接続・セッション管理・CORS設定・文字列正規化処理を実装,Flask + SQLAlchemy + PostgreSQL,全モデル
コアシステム・アプリケーション基盤,main.py,アプリケーションエントリーポイント,Gunicornサーバー起動時に実行されるメインファイル・app.pyからFlaskインスタンスをインポートしてWebサーバーを起動,Gunicorn + Flask,なし
コアシステム・アプリケーション基盤,models.py,データベースモデル定義,全データベーステーブルのSQLAlchemyモデル定義・JA情報・CSV財務データ・標準勘定科目・マッピング・残高・分析結果・計算式テーブルを含む,SQLAlchemy ORM + PostgreSQL,JA・CSVData・StandardAccount・AccountMapping・StandardAccountBalance・AnalysisResult・AccountFormula
コアシステム・アプリケーション基盤,routes.py,Webルーティング・画面表示制御,Flask Webルーティング定義・メインダッシュボード・勘定科目残高一覧・財務分析画面・JA比較分析・データ管理画面・CSVアップロード処理を含む全画面制御,Flask Routing + Jinja2 Templates,JA・CSVData・StandardAccountBalance
財務分析・計算エンジン,financial_indicators.py,財務指標計算エンジン,5カテゴリの財務指標計算エンジン・流動性指標（流動比率・当座比率・現金比率）・収益性指標（ROA・ROE・営業利益率）・安全性指標（自己資本比率・負債比率・固定比率）・効率性指標（総資産回転率）・キャッシュフロー指標・前年度比較・リスクスコア算出機能,Python計算ロジック + 財務分析理論,StandardAccountBalance・AnalysisResult
財務分析・計算エンジン,risk_analyzer.py,リスクスコア算出・評価分析,カテゴリ別リスクレベル評価・総合リスクスコア計算・業界ベンチマークとの比較・リスク要因特定・改善提案生成・レーダーチャート用データ作成機能,統計分析 + リスク評価理論,AnalysisResult・StandardAccountBalance
財務分析・計算エンジン,account_calculator.py,勘定科目合計値計算,勘定科目の合計値計算エンジン・資産の部合計・負債の部合計・純資産の部合計計算・計算式定義管理・優先度付き計算順序制御・StandardAccountBalanceテーブル使用,計算式エンジン + 勘定体系理論,StandardAccountBalance・AccountFormula
データ処理・インポート,data_processor.py,CSVデータ処理・インポート,CSV財務データの読み込み・データ形式検証・欠損データ処理・データ型変換・エラーレポート生成・JA財務データのインポート処理・データ品質チェック機能,Pandas + CSV処理 + データ検証,CSVData・JA
データ処理・インポート,create_account_balances.py,標準勘定科目残高データ作成,指定JA・年度の標準勘定科目残高データ生成・財務諸表タイプ別処理（BS・PL・CF）・データ整合性チェック・残高データの自動作成機能,データ生成ロジック + 財務諸表理論,StandardAccountBalance・CSVData・StandardAccount
AI・自動マッピング機能,ai_account_mapper.py,AI支援勘定科目自動マッピング,Azure OpenAI API連携による勘定科目自動マッピング・完全一致マッピング・AI支援マッピング（信頼度スコア付き）・文字列類似度マッピング・バッチ処理対応・マッピング結果統計・文字列正規化処理,Azure OpenAI API + 自然言語処理 + 類似度計算,CSVData・StandardAccount・AccountMapping
AI・自動マッピング機能,ai_mapping_rules.py,JA預金科目マッピングルール,JA特有の勘定科目ルール定義・預金関連科目の負債科目マッピング・ルールベース自動判定・JAの業務特性に対応した特別ルール適用,ルールエンジン + JA業務知識,StandardAccount・AccountMapping
AI・自動マッピング機能,batch_mapping.py,バッチ処理一括マッピング,大量データの効率的処理・タイムアウト防止機能・処理進捗管理・エラーハンドリング・一度に複数勘定科目のマッピング実行・メモリ使用量制御,バッチ処理 + パフォーマンス最適化,CSVData・AccountMapping・StandardAccount
AI・自動マッピング機能,direct_sql_mapping.py,SQL直接マッピング処理,高速データベース操作・一括更新処理・参照マッピング機能・SQLクエリによる直接データ操作・大量データの高速処理・トランザクション管理,SQL最適化 + データベース操作,AccountMapping・CSVData
バックアップ・データ保護,backup_system.py,データバックアップ・リストア,マッピングデータバックアップ・残高データバックアップ（BS・PL・CF別）・JSON形式での保存・既存データ確認機能・詳細復元レポート・データ整合性チェック・バックアップファイル管理,JSON処理 + ファイル操作 + データ保護,AccountMapping・StandardAccountBalance・CSVData
バックアップ・データ保護,backup_api.py,バックアップ機能API,バックアップ作成API・バックアップ一覧取得API・データ復元API・2段階確認プロンプト・エラーハンドリング・RESTful API設計・セキュリティ確認機能,REST API + セキュリティ + 確認プロセス,AccountMapping・StandardAccountBalance
API・エンドポイント,api_endpoints.py,REST APIエンドポイント定義,リスクデータ取得API・勘定科目データ取得API・JA比較分析API・キャッシュクリアAPI・レスポンス形式統一・JSON形式データ提供・CORS対応,REST API + JSON + パフォーマンス監視,AnalysisResult・StandardAccountBalance・JA
API・エンドポイント,clear_cache_route.py,キャッシュクリア機能,JAユーザー登録画面キャッシュクリア・ブラウザキャッシュバイパス・特殊ルート定義・キャッシュ無効化処理・パフォーマンス最適化,キャッシュ管理 + ブラウザ制御,なし
勘定科目管理・追加,add_current_assets.py,流動資産科目追加,流動資産親科目設定・子科目関係定義・表示順序設定・勘定科目階層構造の構築・標準勘定科目マスタへの追加処理,勘定科目体系 + 階層構造管理,StandardAccount
勘定科目管理・追加,add_total_accounts.py,BS合計科目追加,貸借対照表合計科目追加・階層構造定義・計算式設定・資産の部・負債の部・純資産の部合計科目の標準勘定科目マスタ追加,勘定科目体系 + 財務諸表構造,StandardAccount・AccountFormula
データ確認・検証ツール,check_data.py,JA・年度データ状態確認,指定JA・年度のデータ存在チェック・レコード数確認・データ品質検証・財務諸表タイプ別データ確認・データ完整性検証機能,データ検証 + 品質管理,CSVData・StandardAccountBalance・JA
データ確認・検証ツール,check_balance_data.py,残高データ状態確認,財務諸表タイプ別残高確認・異常値検出・データ完整性チェック・標準勘定科目残高の状態検証・残高データの品質確認機能,データ品質管理 + 異常値検出,StandardAccountBalance
データ確認・検証ツール,check_profitability_data.py,収益性指標データ確認,利益関連科目確認・計算要素検証・指標計算テスト・収益性指標計算に使用される重要科目の値確認・税引前当期利益・総資産・純資産データ検証,収益性分析 + データ検証,StandardAccountBalance・AnalysisResult
データ確認・検証ツール,check_safety_indicators_for_chart.py,レーダーチャート用安全性指標確認,チャート表示データ検証・安全性指標値確認・表示形式チェック・レーダーチャート描画用データの整合性確認・視覚化データ準備,データ視覚化 + チャート準備,AnalysisResult・StandardAccountBalance
データ確認・検証ツール,check_ja_data.py,JAデータ・CSV状態確認,JA登録状況確認・CSV取り込み状況確認・データ連携状態検証・JAマスタとCSVデータの整合性チェック・データベース内のJAデータ状況確認,データ連携 + 整合性チェック,JA・CSVData
データ確認・検証ツール,check_accounts_display_order.py,勘定科目表示順序確認,勘定科目の表示順序確認・画面表示制御・ソート順序検証・ユーザーインターフェース表示順序の適切性確認,UI/UX + 表示制御,StandardAccount・StandardAccountBalance
データ確認・検証ツール,check_analysis_results.py,分析結果確認,財務指標計算結果検証・分析結果データの整合性確認・計算精度検証・指標値の妥当性チェック・リスクスコア検証,計算結果検証 + 精度管理,AnalysisResult
データ確認・検証ツール,check_and_fix_ja004.py,JA004安全性指標確認・修正,特定JA（JA004）の安全性指標データ確認・修正処理・個別JA対応・データ修正機能・特定ケース対応処理,個別対応 + データ修正,AnalysisResult・StandardAccountBalance
データ確認・検証ツール,check_api_endpoints.py,APIエンドポイント確認,API動作確認・エンドポイント応答テスト・API機能検証・レスポンス確認・APIの健全性チェック機能,API テスト + 動作確認,なし
データ確認・検証ツール,check_available_data.py,利用可能データ確認,データ可用性チェック・システム内データの利用可能状況確認・データ存在確認・アクセス可能性検証,データ可用性 + アクセス制御,全モデル
データ確認・検証ツール,check_balances.py,勘定科目残高確認,勘定科目残高値チェック・残高データの妥当性確認・数値検証・残高計算の正確性確認機能,残高検証 + 数値妥当性,StandardAccountBalance
データ確認・検証ツール,check_bs_data.py,BSデータ確認,貸借対照表データ確認・BS財務諸表データの整合性チェック・資産・負債・純資産データ検証・流動資産関連勘定科目確認,貸借対照表検証 + 財務諸表理論,StandardAccountBalance・CSVData
データ確認・検証ツール,check_cf_account_display.py,CF勘定科目表示確認,キャッシュフロー計算書の勘定科目表示確認・CF表示制御・営業活動・投資活動・財務活動キャッシュフロー表示検証,キャッシュフロー表示 + UI制御,StandardAccountBalance
データ確認・検証ツール,check_cf_accounts.py,CF勘定科目確認,キャッシュフロー計算書科目チェック・CF関連勘定科目の存在確認・キャッシュフロー構成要素検証,キャッシュフロー理論 + 科目検証,StandardAccount・StandardAccountBalance
データ確認・検証ツール,check_cf_balances.py,CF残高確認,キャッシュフロー計算書残高値確認・CF残高データの妥当性チェック・現金流入流出データ検証,キャッシュフロー検証 + 数値妥当性,StandardAccountBalance
データ確認・検証ツール,check_cf_data.py,CFデータ確認,キャッシュフロー計算書データ全般確認・CF財務諸表データ整合性チェック・キャッシュフロー計算の正確性検証,キャッシュフロー理論 + データ整合性,StandardAccountBalance・CSVData
データ確認・検証ツール,check_cf_data_updated.py,CF更新データ確認,キャッシュフロー更新状況確認・CF データの更新履歴チェック・最新データ反映状況検証,データ更新管理 + 履歴追跡,StandardAccountBalance
