カテゴリ,ファイル名,主要機能,備考
コアシステム・アプリケーション基盤,app.py,Flaskアプリケーション設定・データベース初期化,システム基盤
コアシステム・アプリケーション基盤,main.py,アプリケーションエントリーポイント,Gunicorn起動用
コアシステム・アプリケーション基盤,models.py,データベースモデル定義,全テーブル定義
コアシステム・アプリケーション基盤,routes.py,Webルーティング・画面表示制御,主要画面制御
財務分析・計算エンジン,financial_indicators.py,財務指標計算エンジン,5カテゴリ指標計算
財務分析・計算エンジン,risk_analyzer.py,リスクスコア算出・評価分析,総合リスク評価
財務分析・計算エンジン,account_calculator.py,勘定科目合計値計算,計算式エンジン
データ処理・インポート,data_processor.py,CSVデータ処理・インポート,データ検証含む
データ処理・インポート,create_account_balances.py,標準勘定科目残高データ作成,残高データ生成
AI・自動マッピング機能,ai_account_mapper.py,AI支援勘定科目自動マッピング,Azure OpenAI連携
AI・自動マッピング機能,ai_mapping_rules.py,JA預金科目マッピングルール,ルールベース判定
AI・自動マッピング機能,batch_mapping.py,バッチ処理一括マッピング,大量データ対応
AI・自動マッピング機能,direct_sql_mapping.py,SQL直接マッピング処理,高速処理
バックアップ・データ保護,backup_system.py,データバックアップ・リストア,JSON形式保存
バックアップ・データ保護,backup_api.py,バックアップ機能API,2段階確認付き
API・エンドポイント,api_endpoints.py,REST APIエンドポイント定義,主要API群
API・エンドポイント,clear_cache_route.py,キャッシュクリア機能,特殊ルート
勘定科目管理・追加,add_current_assets.py,流動資産科目追加,親子関係設定
勘定科目管理・追加,add_total_accounts.py,BS合計科目追加,標準勘定科目マスタ
データ確認・検証ツール,check_data.py,JA・年度データ状態確認,汎用データチェック
データ確認・検証ツール,check_balance_data.py,残高データ状態確認,財務諸表別確認
データ確認・検証ツール,check_profitability_data.py,収益性指標データ確認,利益関連科目チェック
データ確認・検証ツール,check_safety_indicators_for_chart.py,レーダーチャート用安全性指標確認,チャート表示検証
データ確認・検証ツール,check_ja_data.py,JAデータ・CSV状態確認,データ連携確認
データ確認・検証ツール,check_accounts_display_order.py,勘定科目表示順序確認,表示制御
データ確認・検証ツール,check_analysis_results.py,分析結果確認,計算結果検証
データ確認・検証ツール,check_and_fix_ja004.py,JA004安全性指標確認・修正,特定JA対応
データ確認・検証ツール,check_api_endpoints.py,APIエンドポイント確認,API動作確認
データ確認・検証ツール,check_available_data.py,利用可能データ確認,データ可用性チェック
データ確認・検証ツール,check_balances.py,勘定科目残高確認,残高値チェック
データ確認・検証ツール,check_bs_data.py,BSデータ確認,貸借対照表データ
データ確認・検証ツール,check_cf_account_display.py,CF勘定科目表示確認,キャッシュフロー表示
データ確認・検証ツール,check_cf_accounts.py,CF勘定科目確認,CF科目チェック
データ確認・検証ツール,check_cf_balances.py,CF残高確認,CF残高値
データ確認・検証ツール,check_cf_data.py,CFデータ確認,キャッシュフロー全般
データ確認・検証ツール,check_cf_data_updated.py,CF更新データ確認,CF更新状況
